,atk,base_card_id,card_id,card_name,card_set_id,char_type,clan,copyright,cost,cv,description,evo_atk,evo_description,evo_life,evo_skill_disc,foil_card_id,format_type,get_red_ether,is_foil,life,normal_card_id,org_evo_skill_disc,org_skill_disc,rarity,restricted_count,skill,skill_disc,skill_option,tokens,tribe_name,use_red_ether
10,1,900811050,900811050,Puppet,90000,1,8,,0,,"What makes one human? In pursuit of the answer, it was crafted.",3,"What completes a human? The answer was never found. Regardless, they continued to multiply.",3,"Rush. <br>At the end of your opponent's turn, destroy this follower.",900811051,1,0,0,1,900811050,"[b]Rush[/b][b].[/b] <br>At the end of your opponent's turn, destroy this follower.","[b]Rush[/b][b].[/b] <br>At the end of your opponent's turn, destroy this follower.",1,3,"rush,destroy","Rush. <br>At the end of your opponent's turn, destroy this follower.","none,none",,-,0
11,0,107834020,107834020,Biofabrication,10007,4,8,,0,,"If evolution is the incentive, progression is the objective.",0,,0,,107834021,1,250,0,0,107834020,,Subtract 1 from the cost of an Artifact card in your hand.<br>Put 3 copies of that Artifact card into your deck. ,3,3,"cost_change,update_deck",Subtract 1 from the cost of an Artifact card in your hand.<br>Put 3 copies of that Artifact card into your deck. ,"add=-1,token_draw={me.last_target.id}&duplication=true&type=add&repeat_count=3",,-,800
12,0,110824010,110824010,Mechanization,10010,4,8,,0,,Create first. Ask questions later.,0,,0,,110824011,1,50,0,0,110824010,,"[b]Choose[/b][b]:[/b] Put 2 copies of 2 of the following cards into your deck - [b]Analyzing Artifact[/b], [b]Ancient Artifact[/b], [b]Mystic Artifact[/b], or [b]Radiant Artifact[/b].",2,3,"choice,update_deck","Choose: Put 2 copies of 2 of the following cards into your deck - Analyzing Artifact, Ancient Artifact, Mystic Artifact, or Radiant Artifact.","card_id=900811030:900811010:900811020:900811040,type=add&repeat_count=2",,-,200
13,1,100011010,100011010,Goblin,10000,1,0,,1,,"You think I look pretty scary, huh? Well, there ain't nothin' to me really. I'm kinda the lowest of the low. I don't got no strength, no wisdom. I don't think you'd like me when I get angry though.",3,"You don't gotta be scared of me. Everyone knows I'm just a little goon. Still, you shouldn't mess with folk who've got weapons. This sword's kinda tiny, but it still hurts.",4,,100011011,1,0,0,2,100011010,,,1,3,none,,none,,-,0
14,1,104011030,104011030,Wise Merman,10004,1,0,,1,,"Though he's a merman, he never attacks people and instead stands contemplatively on the beach. He sometimes offers people wisdom and is thus known as the sage of the sea.",3,"He bestows wisdom upon those who have the mettle to lead the future, and they become the sages of the next age.",3,,104011031,0,10,0,1,104011030,,[b]Fanfare[/b][b]:[/b] Give +1/+0 to an allied Neutral follower.,1,3,powerup,Fanfare: Give +1/+0 to an allied Neutral follower.,add_offense=1,,-,50
15,1,110011020,110011020,Steadfast Angel,10010,1,0,,1,,"It is he who hath forged the resplendent gates and sacred temples of heaven. Verily, the celestial realm is his workshop, and he is wont to protect his creations.",3,"His hammer ringeth across the heavens, like unto a blessed bell. One angel is drawn by the rhythmic chorus of his labor.<br>""Ding-dong, ding-dong!""<br>""You annoying little—I'm trying to work here!"" ",3,Ward. ,110011021,1,10,0,1,110011020,[b]Ward[/b][b].[/b] ,[b]Ward[/b][b].[/b]<br>[b]Fanfare[/b][b]:[/b] [b]Enhance[/b] [b](4)[/b] [b]-[/b] Gain +2/+2.,1,3,"guard,pp_fixeduse,powerup",Ward.<br>Fanfare: Enhance (4) - Gain +2/+2.,"none,fixeduse=4,add_offense=2&add_life=2",,-,50
16,0,101024010,101024010,Angelic Snipe,10001,4,0,,1,,One loosed arrow becomes a light that pierces the heart of an evildoer.,0,,0,,101024011,0,50,0,0,101024010,,Deal 1 damage to an enemy.,2,3,damage,Deal 1 damage to an enemy.,damage=1,,-,200
17,0,106024010,106024010,Mystic Ring,10006,4,0,,1,,"You are not, dear cowardly one, worthy of this fate. So in place of fate, I shall rewind time—but only a little, for a little is all you deserve. —The Goddess of Time",0,,0,,106024011,0,50,0,0,106024010,,Banish a card in your hand.<br>Put a copy of the banished card into your deck.<br>Draw a card.,2,3,"banish,update_deck,draw",Banish a card in your hand.<br>Put a copy of the banished card into your deck.<br>Draw a card.,"none,type=update,none",,-,200
18,0,107024010,107024010,Treasure Map,10007,4,0,,1,,"Companions, knowledge, and tools. When the three are assembled, a new adventure unfolds. —The Adventurer's Handbook",0,,0,,107024011,1,50,0,0,107024010,,"Randomly put 1 of the following cards into your hand: [b]Forest of Dreams[/b], [b]Arthurian Light[/b], [b]Enchanted Library[/b], [b]Phoenix Roost[/b], [b]Grave Desecration[/b], [b]Bloodfed Flowerbed[/b], or [b]Pegasus Sculpture[/b].",2,3,token_draw,"Randomly put 1 of the following cards into your hand: Forest of Dreams, Arthurian Light, Enchanted Library, Phoenix Roost, Grave Desecration, Bloodfed Flowerbed, or Pegasus Sculpture.",token_draw=101113010:101232010:104313010:101432020:104522010:101623010:103723010:?1,,-,200
19,0,900034010,900034010,Ruthful Droplet,90000,4,0,,1,,Have a refreshing little splish! —Oceanus,0,,0,,900034011,1,0,0,0,900034010,,Restore 2 defense to an ally.,3,3,heal,Restore 2 defense to an ally.,healing=2,,-,0
20,0,900034030,900034030,Nourishing Fare,90000,4,0,,1,,"Truly sublime. It warms me to my very core. It seems he's finally mastered the use of medicinal herbs to create a delicate yet aromatic flavor. You've outdone yourself again, Gourmet Emperor. —Lyriola, Supreme Critic",0,,0,,900034031,1,0,0,0,900034030,,Draw a card.<br>Restore 2 defense to your leader if the enemy leader's defense is higher than yours.,3,3,"draw,heal",Draw a card.<br>Restore 2 defense to your leader if the enemy leader's defense is higher than yours.,"none,healing=2",,-,0
21,0,900034040,900034040,Flaming-Hot Fare,90000,4,0,,1,,"Now this is quite the surprise. It burns me to my very core. Yet, the spices and umami flavors dance in zesty harmony... I expected nothing less, Gourmet Emperor. —Lyriola, Supreme Critic",0,,0,,900034041,1,0,0,0,900034040,,Deal 2 damage to an enemy follower.<br>Deal 2 damage to the enemy leader if their defense is higher than yours.,3,3,"damage,damage",Deal 2 damage to an enemy follower.<br>Deal 2 damage to the enemy leader if their defense is higher than yours.,"damage=2,damage=2",,-,0
22,0,900044040,900044040,Infernal Gaze,90000,4,0,,1,,"Ethereal soul or corporeal flesh, a frozen fate awaits all beings caught in gelid gaze.",0,,0,,900044041,1,0,0,0,900044040,,"Until the start of your next turn, add 10 to the original cost of spells in your opponent's hand. (Only affects cards in hand at the time this effect is activated.)<br>Draw a card.",4,3,"cost_change,draw","Until the start of your next turn, add 10 to the original cost of spells in your opponent's hand. (Only affects cards in hand at the time this effect is activated.)<br>Draw a card.","add=10,none",,-,0
23,0,900044050,900044050,Infernal Surge,90000,4,0,,1,,"From his fingertips it surges, rendering all that is to naught, and all that is naught to being.",0,,0,,900044051,1,0,0,0,900044050,,Draw 3 cards.,4,3,draw,Draw 3 cards.,none,,-,0
24,0,108013010,108013010,Fount of Angels,10008,3,0,,1,,"The angels shed tears for the sorrow of the world of men. Then the tears fell to earth, forming a great spring withal. And the spring of tears comforted the people, and it blessed them. —Chapter 3, Angelon Erga",0,,0,,108013011,1,10,0,0,108013010,,[b]Countdown[/b] [b](2)[/b]<br>[b]Fanfare[/b][b]:[/b] Give +1/+0 to an allied follower until the end of the turn.<br>[b]Last Words[/b][b]:[/b] Draw a card.,1,3,"powerup,draw",Countdown (2)<br>Fanfare: Give +1/+0 to an allied follower until the end of the turn.<br>Last Words: Draw a card.,"add_offense=1,none",,-,50
25,1,100111010,100111010,Water Fairy,10000,1,1,,1,,"Fairies get lonely, so we always stick together. If you hurt me, they won't be pleased!",3,"If you try and hurt me, we'll make you regret it. But if you're a good friend, the fairies won't forget it!",3,Last Words: Put a Fairy into your hand.,100111011,1,0,0,1,100111010,[b]Last Words[/b][b]:[/b] Put a [b]Fairy[/b] into your hand.,[b]Last Words[/b][b]:[/b] Put a [b]Fairy[/b] into your hand.,1,3,token_draw,Last Words: Put a Fairy into your hand.,token_draw=900111010,,-,0
26,1,101111010,101111010,Elf Child May,10001,1,1,,1,,"Elf rules say we've gotta live as one with nature, but grown-ups get to go out into the world! Pffft, I can't wait till I'm bigger.",3,"I mean, I really like the forest! It's my home! But I wanna know what's out there so bad. So, um, I was thinking of going on an adventure! I mean, look, I'm so grown-up already, right? It'll be fine!",3,,101111011,0,10,0,1,101111010,,[b]Fanfare[/b][b]:[/b] Deal 1 damage to a random enemy follower.,1,3,damage,Fanfare: Deal 1 damage to a random enemy follower.,damage=1,,-,50
27,1,101111020,101111020,Fairy Champion,10001,1,1,,1,,I fight to defend the forest from the forces of darkness! I will not allow any more of my friends to be killed!,3,"I'm not going to cry any more! I'm going to keep fighting even if I don't have any strength left! Courage makes anything possible! Shield of the pixies, lend me your strength!",3,Ward.,101111021,0,10,0,1,101111020,[b]Ward[/b][b].[/b],[b]Ward[/b][b].[/b],1,3,guard,Ward.,none,,-,50
28,1,103111050,103111050,Felpurr Kitten,10003,1,1,,1,,Look! Look how high I can climb now! Soon I'm going to be a grown-up!,3,"Once I grow up, I'm gonna leave the forest. One day I'll be a big cat girl! ",3,,103111051,0,10,0,1,103111050,,[b]Fanfare[/b][b]:[/b] Gain +1/+1 if at least 2 other cards were played this turn.,1,3,powerup,Fanfare: Gain +1/+1 if at least 2 other cards were played this turn.,add_offense=1&add_life=1,,-,50
29,1,110141020,110141020,"Tia, Crystalian Noble",10010,1,1,,1,,"Beyond the glaciers, where the snowstorm leads, whatever could bring you to this place a second time? You're a strange one... but that might not be so bad. I suppose I could lend you a hand.",3,"The crystals' power is eternal. In comparison, our chance meeting is but a sigh which clouds the frozen air before dispersing. Even so... perhaps this fleeting warmth has meaning. Perhaps it is something I need.",3,,110141021,1,1000,0,1,110141020,,[b]Fanfare[/b][b]:[/b] Put a [b]Crystalia Eve[/b] into your hand and change its cost to 3 if at least 2 other cards were played this turn. Change its cost to 1 instead if at least 4 other cards were played this turn.,4,3,"token_draw,cost_change,cost_change,cost_change",Fanfare: Put a Crystalia Eve into your hand and change its cost to 3 if at least 2 other cards were played this turn. Change its cost to 1 instead if at least 4 other cards were played this turn.,"token_draw=900141010,set=3,set=3,set=1",,-,3500
30,1,111111030,111111030,"Lila, Arborist",10011,1,1,,1,,"The forest is a living, breathing organism. That's why I look after its health. Just like people need doctors, the forest needs an arborist!",3,"Young Treants are bad at expressing themselves. But I understand what they mean. H-hey, what? Are those termites? Eeeww, get away!",3,,111111031,1,10,0,1,111111030,,[b]Fanfare[/b][b]:[/b] Give +1/+1 to another allied follower with at least 4 attack.<br>[b]Enhance[/b] [b](4)[/b][b]:[/b] Give +1/+1 to all other allied followers instead.,1,3,"powerup,pp_fixeduse,powerup",Fanfare: Give +1/+1 to another allied follower with at least 4 attack.<br>Enhance (4): Give +1/+1 to all other allied followers instead.,"add_offense=1&add_life=1,fixeduse=4,add_offense=1&add_life=1",,-,50
31,1,900111010,900111010,Fairy,90000,1,1,,1,,"There are fairies in forests, fountains, flower beds, and everywhere else. If you can't see them, it's because your heart is impure. Look, there's one right next to you!",3,"Trickery, moodiness, mischief—while these are all aspects of fairies' characters, what's most important is the strength of their feelings. They are highly emotional and will sacrifice their lives to help their friends and families.",3,,900111011,1,0,0,1,900111010,,,1,3,none,,none,,-,0
32,0,101114010,101114010,Nature's Guidance,10001,4,1,,1,,"Heeding the trees' call, the forest-dwellers return.",0,,0,,101114011,0,10,0,0,101114010,,Return an allied follower or amulet to your hand.<br>Draw a card.,1,3,"return_card,draw",Return an allied follower or amulet to your hand.<br>Draw a card.,"none,none",,-,50
33,0,101114050,101114050,Fairy Circle,10001,4,1,,1,,"C'mere, everyone! Come play with the trespasser!",0,,0,,101114051,1,10,0,0,101114050,,Put 2 [b]Fairies[/b] into your hand.,1,3,token_draw,Put 2 Fairies into your hand.,token_draw=900111010:900111010,,-,50
34,0,101114050,110114010,Fairy Circle,10010,4,1,,1,,"Recently, all manner of people have been coming through the forest, so the fairies never want for entertainment.",0,,0,,110114011,1,10,0,0,110114010,,Put 2 [b]Fairies[/b] into your hand.,1,3,token_draw,Put 2 Fairies into your hand.,token_draw=900111010:900111010,,-,50
35,0,103114020,103114020,Entangling Vines,10003,4,1,,1,,Don't worry. They're just playing—for now anyway.,0,,0,,103114021,0,10,0,0,103114020,,Give an enemy follower -10/-0 until the end of the turn.<br>[b]Enhance[/b] [b](5)[/b][b]:[/b] Destroy it instead.,1,3,"pp_fixeduse,power_down,destroy",Give an enemy follower -10/-0 until the end of the turn.<br>Enhance (5): Destroy it instead.,"fixeduse=5,gain_offense=10&gain_life=-0,none",,-,50
36,0,106114010,106114010,Airbound Barrage,10006,4,1,,1,,"The bowstring's twang and shallow breath disappear amid the sound of rustling leaves. Wait quietly—nay, peacefully. An impatient heart is proof of trepidation. A forest warrior can have no such thing. —Elven Tactics, counterattack section",0,,0,,106114011,0,10,0,0,106114010,,Return an allied follower or an amulet to your hand. Then deal 3 damage to an enemy follower.<br>(This card can be played only when both a targetable allied card and enemy card are in play.),1,3,"return_card,damage",Return an allied follower or an amulet to your hand. Then deal 3 damage to an enemy follower.<br>(This card can be played only when both a targetable allied card and enemy card are in play.),"none,damage=3",,-,50
37,0,106114010,702114010,Airbound Barrage,70004,4,1,©TYPE-MOON・ufotable・FSNPC ,1,,"I am the bone of my sword, Caladbolg II.",0,,0,,702114011,0,0,0,0,702114010,,Return an allied follower or an amulet to your hand. Then deal 3 damage to an enemy follower.<br>(This card can be played only when both a targetable allied card and enemy card are in play.),1,3,"return_card,damage",Return an allied follower or an amulet to your hand. Then deal 3 damage to an enemy follower.<br>(This card can be played only when both a targetable allied card and enemy card are in play.),"none,damage=3",,-,0
38,0,107134010,107134010,Fairy Torrent,10007,4,1,,1,,"""I'll heal you!"" ""Do you need healing?"" ""Hey, I can heal you!"" ""See? When we feel like it, we can do amazing things together!""",0,,0,,107134011,1,250,0,0,107134010,,Return an allied follower or amulet to your hand. Restore X defense to your leader. X is the number of returned cards.<br>[b]Enhance[/b] [b](5)[/b][b]:[/b] Return all allied followers and amulets instead.,3,3,"return_card,heal,pp_fixeduse,return_card,heal",Return an allied follower or amulet to your hand. Restore X defense to your leader. X is the number of returned cards.<br>Enhance (5): Return all allied followers and amulets instead.,"none,healing={both.return_card.count},fixeduse=5,none,healing={both.return_card.count}",,-,800
39,0,900124010,900124010,Angel's Dress,90000,4,1,,1,,You're so unfashionable I can hardly look. But just relax. You're about to be reborn a hundred times over in fashionable white. —Fashionista Nelcha,0,,0,,900124011,1,0,0,0,900124010,,Give +1/+1 to an allied follower.,2,3,powerup,Give +1/+1 to an allied follower.,add_offense=1&add_life=1,,-,0
40,0,900124020,900124020,Demon's Dress,90000,4,1,,1,,You're so unfashionable I can hardly bear it. But don't worry. You're about to be reborn a hundred times over in fashionable black. —Fashionista Nelcha,0,,0,,900124021,1,0,0,0,900124020,,Change an enemy follower's defense to 1.,2,3,power_down,Change an enemy follower's defense to 1.,set_life=1,,-,0
41,0,900144040,900144040,Fil,90000,4,1,,1,,Oho! Let's make this a liiittle bit more chic!,0,,0,,900144041,1,0,0,0,900144040,,"Give an allied follower +0/+1.<br>If you have played at least 4 other [b]Fil[/b][b]s[/b] in this match, that follower can attack twice per turn.",4,3,"powerup,attack_count","Give an allied follower +0/+1.<br>If you have played at least 4 other Fils in this match, that follower can attack twice per turn.","add_life=1,attack_count=2",,-,0
42,0,900144050,900144050,Carbuncle's Sparkle,90000,4,1,,1,,"Its light is eternal, an unparalleled brilliance that radiates for eternity.<br>—On Carbuncles, Cryptid Companion",0,,0,,900144051,1,0,0,0,900144050,,Restore 1 defense to your leader. Recover 1 evolution point. Draw a card.,4,3,"heal,possess_ep_modifier,draw",Restore 1 defense to your leader. Recover 1 evolution point. Draw a card.,"healing=1,add_ep=1,none",,-,0
43,0,101122020,101122020,Woodland Refuge,10001,2,1,,1,,The kindly weedfolk are said to bestow their blessings upon those too weak to defend themselves.,0,,0,,101122021,0,50,0,0,101122020,,"At the end of your turn, give +1/+0 to a random 1/X allied follower.",2,3,powerup,"At the end of your turn, give +1/+0 to a random 1/X allied follower.",add_offense=1,,-,200
44,0,106133010,106133010,Spring-Green Protection,10006,3,1,,1,,"Fairy whispers are made of truth, tricks, and treachery. If one picks up only on their truth, ignoring the other parts, then a flicker in time becomes the same as time eternal. —Account of a fairy-handler",0,,0,,106133011,0,250,0,0,106133010,,"[b]Countdown[/b] [b](3)[/b]<br>[b]Last Words[/b][b]:[/b] Draw a card.<br>Draw a card if this amulet is returned to your hand.<br>At the end of your turn, give a random allied follower +1/+0.",3,3,"draw,draw,powerup","Countdown (3)<br>Last Words: Draw a card.<br>Draw a card if this amulet is returned to your hand.<br>At the end of your turn, give a random allied follower +1/+0.","none,none,add_offense=1",,-,800
45,0,107113010,107113010,Firesprite Grove,10007,3,1,,1,,"Unto the earth will the living return, and from the earth will life be born anew. The flame reducing trees to ashes; the rejoicing of fire fairies throughout the forest.",0,,0,,107113011,1,10,0,0,107113010,,[b]Countdown[/b] [b](2)[/b]<br>[b]Last Words[/b][b]:[/b] Deal 1 damage to a random enemy follower.<br>Deal 1 damage to a random enemy follower if this amulet is returned to your hand.<br>At the end of your turn put a [b]Fairy[/b] into your hand.,1,3,"damage,damage,token_draw",Countdown (2)<br>Last Words: Deal 1 damage to a random enemy follower.<br>Deal 1 damage to a random enemy follower if this amulet is returned to your hand.<br>At the end of your turn put a Fairy into your hand.,"damage=1,damage=1,token_draw=900111010",,-,50
46,0,109113010,109113010,Fairy Refuge,10009,3,1,,1,,Are they resting blissfully in a land of dreams? Or are they luring you into a devious trap? Careless eyes quickly become prey for the forest. —One-eyed Fairy Hunter,0,,0,,109113011,1,10,0,0,109113010,,"If at least 2 other cards were played this turn, and you have at least 1 play point, [b]Choose[/b][b]:[/b] Play this card as either a [b]Fairy's Yawn[/b] or a [b]Fairy's Awakening[/b].<br>---------- <br>[b]Countdown[/b] [b](2)[/b]<br>At the end of your turn, put a [b]Fairy[/b] into your hand.",1,3,"choice,transform,token_draw","If at least 2 other cards were played this turn, and you have at least 1 play point, Choose: Play this card as either a Fairy's Yawn or a Fairy's Awakening.<br>---------- <br>Countdown (2)<br>At the end of your turn, put a Fairy into your hand.","card_id=900113010:900113020,repeat_count=1&summon_side=me,token_draw=900111010",,-,50
47,0,900113010,900113010,Fairy's Yawn,90000,3,1,,1,,"Even if it looks to be safe, you can never be too careful. Get entangled in their shenanigans, and you too could lose something important. —One-eyed Fairy Hunter",0,,0,,900113011,1,0,0,0,900113010,,"[b]Countdown[/b] [b](2)[/b]<br>At the end of your turn, select a random enemy follower. It can't attack next turn.",1,3,cant_attack,"Countdown (2)<br>At the end of your turn, select a random enemy follower. It can't attack next turn.",cant_attack=all,,-,0
48,0,900113020,900113020,Fairy's Awakening,90000,3,1,,1,,"When all is said and done, for them it is merely a prank—even at the cost of lives. They do however they please, so choose wisely. —One-eyed Fairy Hunter",0,,0,,900113021,1,0,0,0,900113020,,"[b]Countdown[/b] [b](2)[/b]<br>During your opponent's turn, whenever an enemy follower attacks your leader, deal 1 damage to that follower.",1,3,damage,"Countdown (2)<br>During your opponent's turn, whenever an enemy follower attacks your leader, deal 1 damage to that follower.",damage=1,,-,0
49,1,100211010,100211010,Quickblader,10000,1,2,,1,,Let's speed things up! I ain't got all day to wait for you to get good.,3,"You didn't seriously think surrounding me was gonna work, did you? I got news for you then—this next part isn't gonna go well for you either.",3,Storm.,100211011,1,0,0,1,100211010,[b]Storm[/b][b].[/b],[b]Storm[/b][b].[/b],1,3,quick,Storm.,none,,Officer,0
50,1,100211010,702211010,"Ta-G, Katana Unsheathed",70003,1,2,,1,,"A reason to fight? No time for that nonsense.<br>The dark dragon must be slain.<br>""Beyond chaos is hope.""<br>How ridiculous!",3,"Suppose that good and evil exist.<br>If so, I'll just cut down the stronger one.<br>That's what my sword and strength are for.<br>Face me—we'll end this!",3,Storm.<br><br>(This card will be treated as Quickblader.),702211011,1,0,0,1,702211010,[b]Storm[/b][b].[/b]<br><br>(This card will be treated as [b]Quickblader[/b].),[b]Storm[/b][b].[/b],1,3,quick,Storm.,none,,Officer,0
51,1,101211010,101211010,Ninja Trainee,10001,1,2,,1,,"Any of you bums lookin' to mess with our village, you gotta go through me. Hey! Who just called me a runt! You lookin' to get a shuriken to the hea—Wait! Don't move!",3,"To all the bums lookin' to swindle our village, hop on outta here, 'cause me and my frog-style ninja skills say different. Now who just called me a toad? Show yourself!",3,Ambush.,101211011,0,10,0,1,101211010,[b]Ambush[/b][b].[/b],[b]Ambush[/b][b].[/b],1,3,sneak,Ambush.,none,,Officer,50
52,1,101211120,101211120,Vanguard,10001,1,2,,1,,A true warrior always leads the charge.,3,A true warrior always cuts off the enemy's retreat.,4,,101211121,0,10,0,2,101211120,,,1,3,none,,none,,Officer,50
53,1,106231020,106231020,Perseus,10006,1,2,,1,,Am I a god or a man? It's all the same to me! I'll become a legend and people will sing my praises!,3,I'll overcome any trial! I'll take out any tribulation! My legend begins here—get ready to sing my praises!,4,Evolve: Gain +1/+0 and Ward if there are at least 4 allied Swordcraft followers in play.,106231021,0,250,0,2,106231020,[b]Evolve[/b][b]:[/b] Gain +1/+0 and [b]Ward[/b] if there are at least 4 allied Swordcraft followers in play.,,3,3,"none//powerup,guard",,"none//add_offense=1,none",,Commander,800
54,1,107211030,107211030,Wolf Fang Swordsman,10007,1,2,,1,,"One day, the rest of the pack will accept me as one of their own. There's no way I can lose here! Focus... I have to give it my all!",3,"One day, I'll fight alongside the rest of the pack. I just need to prove myself! Focus... Victory is near. I can feel it!",3,,107211031,1,10,0,1,107211030,,[b]Fanfare[/b][b]:[/b] [b]Enhance[/b] [b](3)[/b] [b]-[/b] Gain [b]Bane[/b].,1,3,"pp_fixeduse,killer",Fanfare: Enhance (3) - Gain Bane.,"fixeduse=3,none",,Officer,50
55,1,108211010,108211010,Axe Princess,10008,1,2,,1,,"I could never get into princess stuff. Everything's so hoity toity, so prim and proper. It just wasn't for me. But here, now, here I can lend a hand.",3,I just can't bring myself to care about the small stuff. I was never good at dancing or knitting. But cleaving things in two? Now that's where I excel!,3,(Same as the unevolved form.),108211011,1,10,0,1,108211010,(Same as the unevolved form.),"Whenever you play a card using its [b]Enhance[/b] effect, draw a card.",1,3,draw,"Whenever you play a card using its Enhance effect, draw a card.",none,,Commander,50
